CDS,CCode,CDCode,SCode,RType,SName,DName,CName,Enroll12,NumTstTakr,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year
3.37E+13,33,3366993,129882,S,21st Century Learning Institute,Beaumont Unified,Riverside,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.96E+13,19,1964212,1995596,S,ABC Secondary (Alternative),ABC Unified,Los Angeles,58,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.56E+13,15,1563776,1530377,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
4.37E+13,43,4369666,4333795,S,Abraham Lincoln High,San Jose Unified,Santa Clara,463,53,23,22,22,23,34,64.15,2018-19
1.96E+13,19,1964733,121095,S,Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,68,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.96E+13,19,1964857,112714,S,Antelope Valley Learning Academy,Palmdale Elementary,Los Angeles,235,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.98E+13,19,1975309,127100,S,Assurance Learning Academy,Acton-Agua Dulce Unified,Los Angeles,439,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.96E+13,19,1964725,1930411,S,Avalon K-12,Long Beach Unified,Los Angeles,43,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
3.87E+13,38,3868478,119958,S,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,84,9,*,*,*,*,*,*,2018-19
3.68E+13,36,3675077,3631207,S,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97,13,*,*,*,*,*,*,2018-19
1.96E+13,19,1964725,125153,S,Beach High-Intensive Learning Program,Long Beach Unified,Los Angeles,43,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
3.67E+13,36,3667736,116723,S,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63,5,*,*,*,*,*,*,2018-19
1.96E+13,19,1964352,118521,S,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.96E+13,19,1964733,131821,S,Collegiate Charter High of Los Angeles,Los Angeles Unified,Los Angeles,34,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.26E+13,12,1262810,108688,S,Academy of the Redwoods,Fortuna Union High,Humboldt,47,6,*,*,*,*,*,*,2018-19
7.62E+12,7,761630,107524,S,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,19,2,*,*,*,*,*,*,2018-19
7.62E+12,7,761630,730283,S,Acalanes High,Acalanes Union High,Contra Costa,353,99,29,29,28,27,93,93.94,2018-19
5.47E+13,54,5472249,133793,S,Accelerated Charter High,Tulare Joint Union High,Tulare,78,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
4.37E+13,43,4369427,125617,S,ACE Charter High,East Side Union High,Santa Clara,41,34,14,14,15,15,1,2.94,2018-19
3.67E+13,36,3667934,125419,S,Adelanto High,Victor Valley Union High,San Bernardino,430,28,19,17,18,18,8,28.57,2018-19
5.67E+13,56,5672546,5631619,S,Adolfo Camarillo High,Oxnard Union High,Ventura,507,91,23,23,23,22,55,60.44,2018-19
4.37E+13,43,4369674,4338802,S,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458,138,25,24,24,24,93,67.39,2018-19
1.98E+13,19,1975309,132654,S,Community Collaborative Charter,Acton-Agua Dulce Unified,Los Angeles,91,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.91E+13,19,1910199,138669,S,Da Vinci RISE High,Los Angeles County Office of Education,Los Angeles,45,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.61E+12,1,161119,130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,31,5,*,*,*,*,*,*,2018-19
1.61E+12,1,161119,130229,S,Alameda High,Alameda Unified,Alameda,463,93,28,27,27,26,85,91.4,2018-19
1.61E+12,1,161119,106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,43,12,*,*,*,*,*,*,2018-19
1.61E+12,1,161127,130450,S,Albany High,Albany City Unified,Alameda,296,58,28,27,27,26,51,87.93,2018-19
1.26E+13,12,1263032,111203,S,Alder Grove Charter School 2,South Bay Union Elementary,Humboldt,51,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.96E+13,19,1964733,127803,S,Early College Academy-LA Trade Tech College,Los Angeles Unified,Los Angeles,33,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.98E+13,19,1975309,134619,S,Empower Generations,Acton-Agua Dulce Unified,Los Angeles,19,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
